transaction_date,symboling,normalized-losses,make,aspiration,num-of-doors,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,horsepower-binned,diesel,gas,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_4wd,drive-wheels_awd,drive-wheels_fwd,drive-wheels_rwd
2025-01-01,3,0.29842931937172773,0.014925373134328358,0,1,0,0.05830903790087483,0.41343283582089585,0.3247863247863245,0.08333333333333348,0.41117145073700545,0.05970149253731343,2,0.26037735849056604,0.46766169154228854,0.6642857142857144,0.29047619047619055,0.125,0.294392523364486,0.346938775510204,0.22222222222222215,0.2894736842105263,0.20795888982672162,0.48148148148148123,2,0,1,True,False,False,False,False,False,False,False,True
2025-01-02,3,0.29842931937172773,0.014925373134328358,0,1,0,0.05830903790087483,0.41343283582089585,0.3247863247863245,0.08333333333333348,0.41117145073700545,0.05970149253731343,2,0.26037735849056604,0.46766169154228854,0.6642857142857144,0.29047619047619055,0.125,0.294392523364486,0.346938775510204,0.22222222222222215,0.2894736842105263,0.2825579663373219,0.48148148148148123,2,0,1,True,False,False,False,False,False,False,False,True
2025-03-01,1,0.29842931937172773,0.014925373134328358,0,1,0,0.23032069970845503,0.4492537313432834,0.44444444444444464,0.3833333333333333,0.5178432893716058,0.06467661691542288,3,0.3433962264150943,0.46766169154228854,0.10000000000000009,0.6666666666666667,0.125,0.4953271028037383,0.346938775510204,0.16666666666666669,0.26315789473684204,0.2825579663373219,0.5701754385964912,2,0,1,False,False,True,False,False,False,False,False,True
2025-01-04,2,0.5183246073298429,0.03482587064676617,0,0,0,0.3848396501457727,0.5298507462686568,0.5042735042735043,0.5416666666666665,0.3293250581846392,0.7213930348258707,2,0.18113207547169813,0.46766169154228854,0.4642857142857142,0.6333333333333333,0.1875,0.2523364485981308,0.5510204081632655,0.3055555555555555,0.368421052631579,0.21925425748473265,0.3761574074074073,2,0,1,False,False,False,True,False,False,False,True,False
2025-05-01,2,0.5183246073298429,0.03482587064676617,0,0,0,0.37317784256559783,0.5298507462686568,0.5213675213675231,0.5416666666666665,0.5182311869666407,0.7213930348258707,1,0.2830188679245283,0.46766169154228854,0.4642857142857142,0.6333333333333333,0.0625,0.31308411214953275,0.5510204081632655,0.1388888888888889,0.1578947368421053,0.30614170100789434,0.6219135802469136,2,0,1,False,False,False,True,False,True,False,False,False
2025-01-06,2,0.29842931937172773,0.03482587064676617,0,1,0,0.3848396501457727,0.5402985074626869,0.5128205128205119,0.4416666666666669,0.3952676493405741,0.7213930348258707,1,0.2830188679245283,0.46766169154228854,0.4642857142857142,0.6333333333333333,0.09375,0.2897196261682243,0.5510204081632655,0.16666666666666669,0.23684210526315785,0.25152673650762125,0.5701754385964912,2,0,1,False,False,False,True,False,False,False,True,False
2025-07-01,1,0.486910994764398,0.03482587064676617,0,0,0,0.5597667638483963,0.770149253731343,0.9487179487179498,0.6583333333333337,0.525989138867339,0.7213930348258707,1,0.2830188679245283,0.46766169154228854,0.4642857142857142,0.6333333333333333,0.09375,0.2897196261682243,0.5510204081632655,0.16666666666666669,0.23684210526315785,0.3125961968124721,0.5701754385964912,2,0,1,False,False,False,True,False,False,False,True,False
2025-01-08,1,0.29842931937172773,0.03482587064676617,0,0,0,0.5597667638483963,0.770149253731343,0.9487179487179498,0.6583333333333337,0.5686578743211792,0.7213930348258707,1,0.2830188679245283,0.46766169154228854,0.4642857142857142,0.6333333333333333,0.09375,0.2897196261682243,0.5510204081632655,0.16666666666666669,0.23684210526315785,0.3426344272876223,0.5701754385964912,2,0,1,False,False,False,False,True,False,False,True,False
2025-09-01,1,0.486910994764398,0.03482587064676617,1,0,0,0.5597667638483963,0.770149253731343,0.9487179487179498,0.6750000000000003,0.6198603568657874,0.7213930348258707,1,0.2641509433962264,0.46766169154228854,0.4214285714285715,0.6333333333333333,0.08125000000000004,0.42990654205607476,0.5510204081632655,0.1111111111111111,0.10526315789473684,0.46564222233255553,0.6797385620915033,2,0,1,False,False,False,True,False,False,False,True,False
2025-01-10,2,0.6649214659685865,0.04477611940298507,0,1,0,0.425655976676385,0.5328358208955222,0.38461538461538414,0.5416666666666665,0.35182311869666405,0.7213930348258707,2,0.17735849056603775,0.46766169154228854,0.6857142857142857,0.3476190476190477,0.11250000000000004,0.24766355140186913,0.6734693877551019,0.27777777777777773,0.3421052631578947,0.28082021746685865,0.4082125603864734,1,0,1,False,False,False,True,False,False,False,False,True
