symboling,normalized-losses,num-of-doors,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,diesel,gas,horsepower_ordinal,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_4wd,drive-wheels_awd,drive-wheels_fwd,drive-wheels_rwd,aspiration_std,aspiration_turbo,engine-type_dohc,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,engine-type_rotor,engine-location_front,engine-location_rear,fuel-system_1bbl,fuel-system_2bbl,fuel-system_4bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi,make_freq
1.0,122,0.0,88.6,0.8111484863046613,0.8902777777777777,48.8,0.41117145073700545,0.2,0.26037735849056604,3.47,2.68,9.0,0.294392523364486,0.346938775510204,0.22222222222222215,0.2894736842105263,0.20795888982672162,11.190476190476188,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.014925373134328358
1.0,122,0.0,88.6,0.8111484863046613,0.8902777777777777,48.8,0.41117145073700545,0.2,0.26037735849056604,3.47,2.68,9.0,0.294392523364486,0.346938775510204,0.22222222222222215,0.2894736842105263,0.2825579663373219,11.190476190476188,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.014925373134328358
0.6000000000000001,122,0.0,94.5,0.8226814031715521,0.9097222222222222,52.4,0.5178432893716058,0.4000000000000001,0.3433962264150943,2.68,3.47,9.0,0.4953271028037383,0.346938775510204,0.16666666666666669,0.26315789473684204,0.2825579663373219,12.36842105263158,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.014925373134328358
0.8,164,1.0,99.8,0.8486304661220567,0.9194444444444444,54.3,0.3293250581846392,0.2,0.18113207547169813,3.19,3.4,10.0,0.2523364485981308,0.5510204081632655,0.3055555555555555,0.368421052631579,0.21925425748473265,9.791666666666666,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.03482587064676617
0.8,164,1.0,99.4,0.8486304661220567,0.9222222222222224,54.3,0.5182311869666407,0.3,0.2830188679245283,3.19,3.4,8.0,0.31308411214953275,0.5510204081632655,0.1388888888888889,0.1578947368421053,0.30614170100789434,13.055555555555555,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.03482587064676617
0.8,122,0.0,99.8,0.8519942335415667,0.9208333333333332,53.1,0.3952676493405741,0.3,0.2830188679245283,3.19,3.4,8.5,0.2897196261682243,0.5510204081632655,0.16666666666666669,0.23684210526315785,0.25152673650762125,12.36842105263158,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.03482587064676617
0.6000000000000001,158,1.0,105.8,0.9259971167707832,0.9916666666666668,55.7,0.525989138867339,0.3,0.2830188679245283,3.19,3.4,8.5,0.2897196261682243,0.5510204081632655,0.16666666666666669,0.23684210526315785,0.3125961968124721,12.36842105263158,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.03482587064676617
0.6000000000000001,122,1.0,105.8,0.9259971167707832,0.9916666666666668,55.7,0.5686578743211792,0.3,0.2830188679245283,3.19,3.4,8.5,0.2897196261682243,0.5510204081632655,0.16666666666666669,0.23684210526315785,0.3426344272876223,12.36842105263158,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.03482587064676617
0.6000000000000001,158,1.0,105.8,0.9259971167707832,0.9916666666666668,55.9,0.6198603568657874,0.3,0.2641509433962264,3.13,3.4,8.3,0.42990654205607476,0.5510204081632655,0.1111111111111111,0.10526315789473684,0.46564222233255553,13.823529411764708,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.03482587064676617
0.8,192,0.0,101.2,0.8495915425276309,0.8999999999999999,54.3,0.35182311869666405,0.2,0.17735849056603775,3.5,2.8,8.8,0.24766355140186913,0.6734693877551019,0.27777777777777773,0.3421052631578947,0.28082021746685865,10.217391304347826,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.04477611940298507
0.4,192,1.0,101.2,0.8495915425276309,0.8999999999999999,54.3,0.35182311869666405,0.2,0.17735849056603775,3.5,2.8,8.8,0.24766355140186913,0.6734693877551019,0.27777777777777773,0.3421052631578947,0.12789831686609404,10.217391304347826,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.04477611940298507
0.4,188,0.0,101.2,0.8495915425276309,0.8999999999999999,54.3,0.474010861132661,0.4000000000000001,0.38867924528301884,3.31,3.19,9.0,0.34112149532710284,0.04081632653061229,0.22222222222222215,0.3157894736842105,0.3935256442083313,11.190476190476188,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.04477611940298507
